ExName,MuscleGroups,Youtube
Single-Leg Squat,Quads;Glutes;Hips;Core,https://www.youtube.com/watch?v=vq5-vdgJc0I
Kettlebell Swings,Glutes;Hamstrings;Lower Back;Hips,https://www.youtube.com/watch?v=bDCeXbMJVNs
Glute Bridges,Glutes;Hamstrings;Core,https://www.youtube.com/watch?v=wPM8icPu6H8
Russian Twists,Obliques;Abs;Core,https://www.youtube.com/watch?v=JyUqwkVpsi8
Step-Ups,Quads;Glutes;Hamstrings,https://www.youtube.com/watch?v=dQqApCGd5Ss
Power Clean,Full Body;Hips;Glutes;Traps;Shoulders,https://www.youtube.com/watch?v=ORGBFvyUwGs
Nordic Hamstring Curl,Hamstrings,https://www.youtube.com/watch?v=HrOhaEnwDQY
Bulgarian Split Squat,Quads;Glutes;Stabilizers,https://www.youtube.com/watch?v=DeCnHqrN22U
Pallof Press,Core;Obliques;Shoulders,https://www.youtube.com/watch?v=otxypVv_0Es
Straight-Arm Pulldown,Lats;Triceps;Rear Deltoids,https://www.youtube.com/watch?v=wcVDItawocI
Rowing Machine,Full Body;Back;Legs;Core,https://www.youtube.com/watch?v=L3DDYjUOlJg
Barbell Bench Press,Chest;Triceps;Shoulders,https://www.youtube.com/watch?v=rT7DgCr-3pg
Deadlift,Glutes;Hamstrings;Lower Back;Traps;Forearms,https://www.youtube.com/watch?v=op9kVnSso6Q
Barbell Back Squat,Quads;Glutes;Hamstrings;Core,https://www.youtube.com/watch?v=ultWZbUMPL8
Overhead Press,Shoulders;Triceps;Upper Chest,https://www.youtube.com/watch?v=F3QY5vMz_6I
Bent-Over Row,Lats;Rhomboids;Rear Deltoids;Biceps,https://www.youtube.com/watch?v=sNPIHaaLXfM
Pull-Ups,Lats;Biceps;Upper Back,https://www.youtube.com/watch?v=NIDEQeDydeU
Dumbbell Goblet Squat,Quads;Glutes;Core,https://www.youtube.com/watch?v=MeIiIdhvXT4
Lat Pulldown,Lats;Upper Back;Biceps,https://www.youtube.com/watch?v=CAwf7n6Luuc
Seated Cable Row,Mid-Back;Lats;Biceps,www.youtube.com
Dumbbell Shoulder Press,Shoulders;Triceps,www.youtube.com
Leg Press,Quads;Glutes;Hamstrings,www.youtube.com
Dumbbell Lunges,Quads;Glutes;Hamstrings;Core,www.youtube.com
Triceps Skull Crushers,Triceps,www.youtube.com
Hammer Curls,Biceps;Brachialis;Forearms,www.youtube.com
Leg Extensions,Quads,www.youtube.com
Lying Leg Curls,Hamstrings,www.youtube.com
Incline Dumbbell Press,Upper Chest;Shoulders;Triceps,www.youtube.com
Cable Flyes,Chest,www.youtube.com
Dips,Triceps;Chest;Shoulders,www.youtube.com
Plank,Core;Abs;Obliques,www.youtube.com
Face Pulls,Rear Deltoids;Upper Traps;Rotator Cuff,www.youtube.com
Calf Raises,Gastrocnemius;Soleus,www.youtube.com
Mountain Climbers,Core;Shoulders;Cardiovascular,www.youtube.com
Bird Dog,Core;Lower Back;Glutes,www.youtube.com
Power Snatch,Full Body;Hips;Glutes;Shoulders;Traps,www.youtube.com
Box Jumps,Quads;Glutes;Hamstrings;Calves,www.youtube.com
Medicine Ball Slams,Core;Lats;Shoulders;Triceps,www.youtube.com
A-Skips,Calves;Hip Flexors;Core,www.youtube.com
Broad Jump,Glutes;Quads;Hamstrings,www.youtube.com
Dumbbell Pullover,Chest;Lats;Serratus Anterior,www.youtube.com
Dead Bug,Core;Deep Abs;Hip Flexors,www.youtube.com
Supermans,Lower Back;Erector Spinae;Glutes,www.youtube.com
Y-W-T Raises,Rear Delts;Traps;Rhomboids;Rotator Cuff,www.youtube.com
Swiss Ball Hamstring Curl,Hamstrings;Glutes;Core,www.youtube.com
Single-Leg Romanian Deadlift,Hamstrings;Glutes;Core;Ankle Stabilizers,www.youtube.com
Side Plank,Obliques;Core;Hip Abductors,www.youtube.com
Barbell Shrugs,Upper Traps,www.youtube.com
Preacher Curls,Biceps,www.youtube.com
Cable Rope Overhead Triceps Extension,Triceps (Long Head),www.youtube.com
Hip Abduction Machine,Gluteus Medius;Hip Abductors,www.youtube.com
Pec Deck Fly,Chest,www.youtube.com
Hanging Knee Raises,Abs;Hip Flexors,www.youtube.com
Dead Hang,Forearms;Shoulder Mobility;Grip Strength,www.youtube.com
Arnold Press,Shoulders;Triceps,www.youtube.com
Rear Delt Fly (Dumbbell),Rear Deltoids;Upper Back,www.youtube.com
