Sport,MainMuscles,SecondaryMuscles
Football,Quads;Hamstrings;Glutes;Calves,Core;Hip Flexors
Rugby,Quads;Glutes;Shoulders,Lower Back;Hamstrings;Core
Basketball,Quads;Calves;Shoulders;Triceps,Glutes;Core;Forearms
Tennis,Shoulders;Forearms;Obliques;Quads,Glutes;Calves;Biceps
Swimming,Lats;Shoulders;Core;Triceps,Chest;Quads;Hip Flexors
Cycling,Quads;Glutes;Hamstrings;Calves,Core;Lower Back;Hip Flexors
Running,Hamstrings;Quads;Glutes;Calves,Core;Hip Flexors
Rowing,Quads;Lats;Lower Back;Glutes,Forearms;Biceps;Hamstrings
Boxing,Shoulders;Triceps;Core;Calves,Lats;Chest;Quads
Golf,Core;Obliques;Forearms;Glutes,Lats;Shoulders;Hamstrings
Volleyball,Quads;Calves;Shoulders;Glutes,Triceps;Core
Gymnastics,Core;Shoulders;Lats;Triceps,Forearms
Rock Climbing,Forearms;Lats;Biceps;Core,Hamstrings;Calves
Cricket (Bowling),Shoulders;Core;Obliques;Glutes,Quads;Triceps
Ice Hockey,Quads;Glutes;Core,Shoulders;Forearms
Surfing,Shoulders;Lats;Triceps;Core,Quads;Glutes
Archery,Upper Back;Shoulders;Core,Forearms;Triceps
Skiing,Quads;Glutes;Core;Obliques,Calves;Hamstrings
