Distance,Intensity,Strokes,Kit
400m,Easy,FC;BC;BR,None
200m,Moderate,FC;BC;BR;FL,Kickboard;Fins
300m,Moderate,FC;BC,Pull buoy;Paddles
100m,Moderate,FC;BC;BR;FL,None
8x50m,Hard,FC;BC;BR;FL,Fins;Snorkel
4x100m,Build,IM;FC;BC;BR;FL,None
200m,Easy,FC;BC;BR;FL,None
400m,Moderate,FC,Snorkel
8x25m,Max Effort,FC;BC;BR;FL,Fins;Paddles
200m,Moderate,FC;BC;BR;FL,Kickboard
150m,Moderate,FC;BC;BR;FL,None
300m,Moderate,FC,Pull buoy;Ankle band
6x100m,Hard,FC;BC;BR;FL,None
200m,Easy,FC;BC;BR;FL,None
10x50m,Moderate,FC;BC;BR;FL,Kickboard;Fins
4x25m,Max Effort,FC;BC;BR;FL,Fins
300m,Moderate,BC;FC,None
8x75m,Hard,FC;BC;BR;FL,Snorkel
200m,Moderate,FC;BC;BR;FL,Pull buoy
100m,Easy,FC;BC;BR;FL,None
500m,Moderate,FC,Paddles;Fins;Snorkel
6x50m,Fast,FC;BC;BR;FL,None
4x100m,Moderate,FC;BC;BR;FL,Pull buoy;Paddles;Snorkel
200m,Easy,FC;BC;BR;FL,Kickboard;Fins
8x25m,Sprint,FC;BC;BR;FL,None
400m,Moderate,FC;BC,None
100m,Moderate,FC;BC;BR;FL,Fins
200m,Easy,FC;BC;BR;FL,None
12x25m,Fast,FC;BC;BR;FL,None
100m,Easy,FC;BC;BR;FL,None
4x100m,Moderate,IM;FC;BC;BR;FL,None
200m,Hard,IM;FC;BC;BR;FL,Fins
400m,Moderate,IM;FC;BC,Snorkel
8x50m,Hard,IM;FC;BC;BR;FL,None
4x200m,Moderate,IM;FC;BC;BR;FL,Pull buoy
100m,Fast,IM;FC;BC;BR;FL,None
300m,Moderate,IM;FC;BC,Kickboard;Fins
200m,Build,IM;FC;BC;BR;FL,Paddles
4x100m,Hard,IM;FC;BC;BR;FL,Snorkel;Fins
200m,Easy,IM;FC;BC;BR;FL,None
100m,Moderate,IM;FC;BC;BR;FL,None
400m,Fast,IM;FC;BC,Fins;Paddles
8x25m,Sprint,IM;FC;BC;BR;FL,None
200m,Moderate,IM;FC;BC;BR;FL,Pull buoy
100m,Easy,IM;FC;BC;BR;FL,None
800m,Aerobic,FC;BC,Snorkel
1500m,Endurance,FC,None
1000m,Moderate,FC,Pull buoy
2000m,Aerobic,FC,None
3x800m,Moderate,FC,Snorkel;Paddles
1200m,Build,FC;BC,None
5x400m,Hard,FC,Fins
3000m,Endurance,FC,None
1000m,Time Trial,FC,None
4x500m,Moderate,FC;BC,Pull buoy
